id,displayName,displayName_pt,name,name_pt,subname,subname_pt,set,rarity,tribe,subtype,subtype_pt,ability,ability_pt,flavorText,flavorText_pt,brainwashedText,brainwashedText_pt,brainwashed,unique,legendary,loyal,loyalRestriction,artist,serialNumber,isPast,stats/courage,stats/power,stats/wisdom,stats/speed,stats/energy,stats/mugic,elements/fire,elements/air,elements/earth,elements/water,imageUrl
DOP-67/232,Mallash,Mallash,Mallash,Mallash,,,dop,rare,danian,Battlemaster,Mestre de Batalha,Hive: Mallash has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Multidão: Mallash tem 5 de Energia adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"""Irresponsible? It’s self-preservation."" — Mallash, rebuffing critics of his ""Attack-first, make-sure-it’s-an-enemy-later"" policy","""Irresponsável? É autopreservação."" — Mallash, rebatendo as críticas à sua política de ""Atacar primeiro, garantir que seja um inimigo depois""",,,false,false,false,false,,"Khary Randolph, John Rauch",67/232,false,40,35,55,45,35,2,0,0,1,0,https://i.imgur.com/rVM0J5m.png
DOP-68/232,Odu-Bathax,Odu-Bathax,Odu-Bathax,Odu-Bathax,,,dop,rare,danian,Warrior,Guerreiro,Odu-Bathax has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Odu-Bathax tem 5 de Energia adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,Odu-Bathax is the defender of the North Gate at Mount Pillar.,Odu-Bathax é o defensor do Portão Norte na Colina de Pilares.,,,false,false,false,false,,Kazutoko Matsumoto,68/232,false,65,70,60,50,40,1,0,0,1,0,https://i.imgur.com/QcLprFn.png
DOP-69/232,Skartalas,Skartalas,Skartalas,Skartalas,,,dop,common,danian,Controller,Controlador,Sacrifice Skartalas: Activate Hive.,Sacrifique Skartalas: Ative Multidão.,It’s rumored that Skartalas has had secret dealings with Van Bloot and that their bitter feud is simply an act to hide an alliance.,Há rumores de que Skartalas tem negociações secretas com Van Bloot e que sua amarga rivalidade é simplesmente uma forma de esconder uma aliança.,,,false,false,false,false,,"Jose Velasco, Edwin Nebres, Jimmy Tran",69/232,false,65,55,50,65,45,2,0,0,0,0,https://i.imgur.com/kh7lGGz.png
DOP-70/232,Valanii Levaan,Valanii Levaan,Valanii Levaan,Valanii Levaan,,,dop,uncommon,danian,Noble,Nobre,Hive: Valanii Levaan has an additional 10 :power:Power for each Mandiblor you control and each Infected Creature in play.,Multidão: Valanii Levaan tem 10 de  :power:Poder adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"When his Squadleaders don’t execute orders, Valanii Levaan orders executions.","Quando seus Líderes de Esquadrão não executam ordens, Valanii Levaan ordena execuções.",,,false,false,false,false,,"Khary Randolph, Anthony Washington",70/232,false,60,60,25,35,55,1,0,0,1,0,https://i.imgur.com/IsPYken.png
DOP-71/232,Wamma,Wamma,Wamma,Wamma,,,dop,common,danian,Mandiblor,Mandiblor,Hive: Wamma has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.,Multidão: Wamma tem 5 de Energia adicional para cada Mandiblor que você controla e cada Criatura Infectada em jogo.,"Most Mandiblors are diligent, dedicated warriors. Wamma is not like most Mandiblors.",A maioria dos Mandiblors são guerreiros diligentes e dedicados. Wamma não é como a maioria dos Mandiblors.,,,false,false,false,false,,"Khary Randolph, John Rauch",71/232,false,50,65,40,35,55,0,1,0,0,0,https://i.imgur.com/E5iPNDn.png
ZOTH-16/100,Balaan,Balaan,Balaan,Balaan,,,zoth,common,danian,Squadleader,Líder de Esquadrão,"Sacrifice Balaan: Activate Hive.
When Balaan is put into your general discard pile, Infect target Uninfected Creature.","Sacrifique Balaan: Ative Multidão.
Quando Balaan for colocado no Descarte, infecte a Criatura alvo Não Infectada.","As his enemy sprouted antennae, Balaan knew his queen would be proud.","Quando seu inimigo criou antenas, Balaan sabia que sua rainha ficaria orgulhosa.",,,false,false,false,false,,"Edwin Nebres, Imaginary Friends Studios",16/100,false,75,45,60,35,60,1,0,0,0,0,https://i.imgur.com/HAe9qvS.png
ZOTH-17/100,Bierk,Bierk,Bierk,Bierk,,,zoth,rare,danian,Squadleader,Líder de Esquadrão,"At the beginning of each turn, if your opponent controls an UnderWorld Creature, Activate Hive.
Hive: Fireproof 10.","No início de cada turno, se o seu oponente controlar uma Criatura do Submundo, ative Multidão.
Multidão: À Prova de Fogo 10.",Bierk was once seen cannonballing into the Lava Pond.,Bierk já foi visto saltando como uma bola de canhão no Tanque de Lava.,,,false,false,false,false,,"Adrian Barrios, Emilio Lopez",17/100,false,75,60,60,50,45,0,0,0,0,1,https://i.imgur.com/T9pg3jT.png
ZOTH-18/100,Daj Huun,Daj Huun,Daj Huun,Daj Huun,,,zoth,common,danian,Mandiblor,Mandiblor,"Swift 2.
Hive: Daj Huun cannot move and has an additional 10 Energy.","Ágil 2.
Multidão: Daj Huun não pode se mover e possui 10 de Energia adicional.","""Look up Look around Never forget To look down"" — UnderWorld nursery rhyme","""Olhe para cima, olhe ao redor, nunca se esqueça de olhar para baixo"" — Cantiga de roda do Submundo",,,false,false,false,false,,"Khary Randolph, Etienne St.Laurent",18/100,false,80,60,45,80,50,0,0,0,0,0,https://i.imgur.com/Z3QUNTm.png
ZOTH-19/100,Dasalin,Dasalin,Dasalin,Dasalin,,,zoth,uncommon,danian,Mandiblor,Mandiblor,":water:Water 5.
Hive: Dasalin does not have "":water:Water 5"" and has "":danianmugic:: Heal 10 damage to target Mandiblor Creature"".",":water:Água 5.
Multidão: Dasalin perde "":water:Água 5"" e ganha "":danianmugic:: Cure 10 de dano ao Mandiblor alvo"".",Quench your spirit as well as your thirst.,Sacie seu espírito e sua sede.,,,false,false,false,false,,"Andrew Bradshaw, Emilio Lopez",19/100,false,45,45,75,35,45,1,0,0,0,1,https://i.imgur.com/SB0AlAY.png
ZOTH-20/100,Dubin,Dubin,Dubin,Dubin,,,zoth,common,danian,Controller,Controlador,":danianmugic:: Infect target Uninfected Creature.
If an opponent controls an Infected Creature, Dubin has an additional 5 Energy.",":danianmugic:: Infecte a criatura alvo não infectada.
Se o oponente controlar uma Criatura infectada, Dubin terá 5 de energia adicional.",How does the parasite take control? Who knows... who cares?!,Como o parasita assume o controle? Quem sabe... quem se importa?!,,,false,false,false,false,,Imaginary Friends Studios,20/100,false,60,45,60,35,35,2,0,0,0,0,https://i.imgur.com/XndzlWU.png
ZOTH-21/100,Faash,Faash,Faash,Faash,,,zoth,uncommon,danian,Elementalist,Elementalista,"Deactivate Hive: Faash gains "":fire:Fire 5."" Hive cannot be Activated again this turn. (Hive must be active to Deactivate it.)","Desative Multidão: Faash ganha "":fire:Fogo 5.""
Multidão não pode ser ativada novamente neste turno.
(Multidão precisa estar ativa para ser desativada.)",,,,,false,false,false,false,,Imaginary Friends Studios,21/100,false,60,75,45,65,55,0,1,0,0,0,https://i.imgur.com/2nrAHLa.png
ZOTH-22/100,"Illexia, The Danian Queen","Illexia, A Rainha Danian",Illexia,Illexia,The Danian Queen, A Rainha Danian,zoth,ultra rare,danian,Noble,Nobre,"Your adjacent Creatures have ""Defender.""
When a Mandiblor Creature or an Infected Creature is put into a general discard pile, put a Mugic counter on Illexia.
:danianmugic:: Activate Hive.
Hive: Mugic counters on Illexia count as Mandiblors you control when counting Mandiblors.","Suas Criaturas adjacentes têm ""Defensor"".
Quando um Mandiblor ou uma Criatura Infectada for colocada no Descarte, coloque um :danianmugic: em Illexia.
:danianmugic:: Ative Multidão.
Multidão: Os Contadores de Mugic em Illexia contam como Mandiblors que você controla ao contar Mandiblors.",,,,,false,true,false,true,,"Khary Randolph, David Curiel",22/100,false,60,75,75,35,60,2,0,0,1,0,https://i.imgur.com/yI8sL0h.png
ZOTH-23/100,Jaal,Jaal,Jaal,Jaal,,,zoth,uncommon,danian,Warrior,Guerreiro,"When Jaal deals :earth:Earth damage to an Uninfected Creature, Infect that Creature.
If engaged with an Infected Creature, Jaal has "":earth:Earth 5.""","Quando Jaal causar dano de :earth:Terra a uma Criatura Não Infectada, infecte aquela Criatura.
Se estiver em combate com uma Criatura Infectada, Jaal terá "":earth:Terra 5"".",,,,,false,false,false,false,,"Adrian Barrios, Emilio Lopez",23/100,false,55,45,75,40,55,0,0,0,1,0,https://i.imgur.com/5Tbl1jC.png
ZOTH-24/100,Kelvedran,Kelvedran,Kelvedran,Kelvedran,,,zoth,common,danian,Mandiblor,Mandiblor,"Fireproof 10.
Earthproof 10.","À prova de Fogo 10.
À prova de Terra 10.",,,,,false,false,false,false,,"Edwin Nebres, Khary Randolph, Etienne St.Laurent",24/100,false,45,60,45,65,45,0,0,1,0,0,https://i.imgur.com/SSSJtHd.png
ZOTH-25/100,Khavakk,Khavakk,Khavakk,Khavakk,,,zoth,rare,danian,Muge,Mago,":danianmugic:: Deal 5 damage to target Creature.
:danianmugic:, Deactivate Hive: Deal 15 damage to target Creature.",":danianmugic:: Cause 5 de dano à criatura alvo.
:danianmugic:: Desative Multidão: Cause 15 de dano à criatura alvo.","""Power, strength and stamina? Overrated."" — Khavakk","""Poder, força e energia? Superestimados."" — Khavakk",,,false,false,false,false,,"Adrian Barrios, Etienne St.Laurent",25/100,false,45,60,45,35,35,2,0,0,0,1,https://i.imgur.com/xu9S0c8.png
ZOTH-26/100,Khritlaan,Khritlaan,Khritlaan,Khritlaan,,,zoth,super rare,danian,Noble,Nobre,"If Khritlaan is in your general discard pile, Mandiblor Creature Cards in your general discard pile count as Mandiblors you control when counting Mandiblors.","Se Khritlaan estiver no descarte, os Mandiblors no seu descarte contam como Mandiblors que você controla ao contar os Mandiblors.","""Even from the grave shall you serve Illexia."" — Khritlaan","""Mesmo do túmulo, você servirá Illexia."" — Khritlaan",,,false,false,false,false,,"Adrian Barrios, Emilio Lopez",26/100,false,75,60,75,35,45,2,0,0,0,1,https://i.imgur.com/DQqkJnU.png
ZOTH-27/100,Mahrrant,Mahrrant,Mahrrant,Mahrrant,,,zoth,super rare,danian,Mandiblor Muge,Mandiblor Mago,"When an Infected Creature is put into a general discard pile, put a Mugic counter on Mahrrant.
:danianmugic:: Activate Hive.","Quando uma Criatura Infectada for colocada em um Descarte, coloque um :danianmugic: em Mahrrant.
:danianmugic:: Ative Multidão.",Never let anything go to waste - including your fallen foes.,Nunca desperdice nada - incluindo seus inimigos caídos.,,,false,false,false,false,,Steve Ellis,27/100,false,45,70,75,35,45,1,0,0,0,0,https://i.imgur.com/pt1CiE0.png
ZOTH-28/100,"Ramarhvir, The Danian Hivebringer","Ramarhvir, O Danian Portador do Enxame",Ramarhvir,Ramarhvir,The Danian Hivebringer, O Danian Portador do Enxame,zoth,ultra rare,danian,Noble Mandiblor Muge,Nobre Mandiblor Mago,"When Hive is activated, you can remove a Mugic counter from a Danian Creature you control, if you do put a Mugic counter on Ramarhvir, the Danian Hivebringer.
:danianmugic::danianmugic:: Return target Mandiblor Creature Card in your general discard pile to play to any unoccupied space on the Battleboard.","Quando Multidão é ativada, você pode remover um :danianmugic: de um Danian que você controla; se o fizer, coloque um :danianmugic: em Ramarhvir, O Danian Portador da Multidão.
:danianmugic::danianmugic:: Devolva o Mandiblor alvo do seu descarte para o jogo em qualquer espaço desocupado do Tabuleiro.",,,,,false,false,false,false,,"Adrian Barrios, David Curiel",28/100,false,45,75,60,35,55,0,0,1,0,0,https://i.imgur.com/857kNg0.png
ZOTH-29/100,Tassanil,Tassanil,Tassanil,Tassanil,,,zoth,rare,danian,Noble Elementalist,Nobre Elementalista,":water:Water 5.
Hive: Tassanil has an additional 5 Energy for each Elemental Type opposing Creatures have.
Tassanil counts as a Mandiblor.",":water:Água 5.
Multidão: Tassanil possui 5 de Energia adicional para cada Elemento que as criaturas do oponente possuam.
Tassanil conta como um Mandiblor.",,,,,false,true,false,false,,Imaginary Friends Studios,29/100,false,70,55,65,60,45,1,0,0,0,1,https://i.imgur.com/F7GBVc5.png
ZOTH-30/100,Yondaf,Yondaf,Yondaf,Yondaf,,,zoth,rare,danian,Controller,Controlador,"When an opposing Uninfected Creature is targeted by a Mugic you control, Infect that Creature.","Quando uma criatura não infectada do oponente for alvo de um Magic que você controla, infecte aquela criatura.","Forget your Tribe, forget your friends, forget yourself. You are one of us now!","Esqueça sua tribo, esqueça seus amigos, esqueça a si mesmo. Você é um de nós agora!",,,false,false,false,false,,"Gustavo, David Curiel",30/100,false,60,45,75,30,35,1,1,0,1,0,https://i.imgur.com/XUkAdds.png
SS-16/100,"Hammerdoom Chantcaller, Assimilated","Hammerdoom Chantcaller, Assimilado",Hammerdoom Chantcaller,Hammerdoom Chantcaller,Assimilated, Assimilado,ss,super rare,danian,Mandiblor Warrior,Mandiblor Guerreiro,"Hive: Fireproof 10.
Attacks played by Hammerdoom Chantcaller deal an additional 5 damage to UnderWorld Creatures.","Multidão: À prova de fogo 10.
Os ataques de Hammerdoom Chantcaller causam 5 de dano adicionais às criaturas do Submundo.",,,,,false,true,false,true,,"Khary Randolph, Etienne St.Laurent, Anthony Washington",16/100,false,80,50,65,65,60,0,0,0,1,0,https://i.imgur.com/8hAioBA.png
SS-17/100,"Kolmo, Assimilated","Kolmo, Assimilado",Kolmo,Kolmo,Assimilated, Assimilado,ss,super rare,danian,Mandiblor,Mandiblor,"Invisibility: Surprise.
If engaged with a Mipedian Royal Creature, Kolmo has ""Invisibility: Strike 20.""
:danianmugic:: If Kolmo is not engaged, relocate it to any unoccupied space on the Battleboard.","Invisibilidade: Surpresa.
Se estiver em combate com uma Criatura Mipedian Real, Kolmo possui ""Invisibilidade: Ataque 20"".
:danianmugic:: Se Kolmo não estiver em combate, mova-o para qualquer espaço desocupado do Tabuleiro.",,,,,false,true,false,false,,"Khary Randolph, David Curiel",17/100,false,85,80,40,70,65,1,0,0,1,0,https://i.imgur.com/0mZBEtZ.png
SS-18/100,Lobanne,Lobanne,Lobanne,Lobanne,,,ss,uncommon,danian,Mandiblor Muge,Mandiblor Mago,":danianmugic:: For each Mugic counter on Lobanne, choose ""Fireproof 10,"" ""Airproof 10,"" ""Earthproof 10"" or ""Waterproof 10."" Target Creature gains the chosen abilities. This ability can only be used once per turn.",":danianmugic:: Para cada :danianmugic: em Lobanne, escolha ""À prova de Fogo 10"", ""À prova de Ar 10"", ""À prova de Terra 10"" ou ""À prova D'água 10"".
A criatura alvo ganha as habilidades escolhidas.
Esta habilidade só pode ser usada uma vez por turno.",,,,,false,false,false,false,,"Dan Norton, Etienne St.Laurent",18/100,false,45,40,65,45,40,3,0,0,0,0,https://i.imgur.com/P1WHK0y.png
SS-19/100,Makrabon,Makrabon,Makrabon,Makrabon,,,ss,common,danian,Controller,Controlador,"When Makrabon has a Mugic counter put on it, Infect target Uninfected Creature.
:danianmugic:: Activate or Deactivate Hive","Quando Makrabon receber um :danianmugic:, infecte a criatura alvo não infectada.
:danianmugic:: Ative ou Desative Multidão.",,,,,false,false,false,false,,"Dan Norton, Emilio Lopez, Anthony Washington",19/100,false,30,40,60,35,40,2,0,0,0,0,https://i.imgur.com/akG5pul.png
SS-20/100,"Raznus, Assimilated","Raznus, Assimilado",Raznus,Raznus,Assimilated, Assimilado,ss,rare,danian,Mandiblor Ambassador,Embaixador Mandiblor,:danianmugic:: Danian Creatures you control cannot be targeted by Mugic or abilities. This ability can only be used once per turn.,":danianmugic:: Danians que você controla não podem ser alvo de Mugics ou habilidades.
Esta habilidade só pode ser usada uma vez por turno.",,,,,false,true,false,false,,"Khary Randolph, Emilio Lopez, Anthony Washington",20/100,false,60,30,85,40,55,1,0,0,0,1,https://i.imgur.com/dMqbiw6.png
BTD-29/222,Chaac,Chaac,Chaac,Chaac,,,btd,common,danian,Squadleader Minion,Líder de Esquadrão Lacaio,"Hive: Chaac has an additional 15 Energy.
:danianmugic:: Infect target Uninfected Creature.","Multidão: Chaac tem 15 de Energia adicional.
:danianmugic:: Infecte a criatura alvo não infectada.",,,:danianmugic:: Target Creature loses an Elemental Type of your choice.,:danianmugic:: A criatura alvo perde um Elemento à sua escolha.,true,false,false,false,,"Ryan Bemjamin, Imaginary Friends Studios",29/222,false,80,50,60,45,50,2,0,0,0,0,https://i.imgur.com/lDZhCqA.png
BTD-30/222,Drazz,Drazz,Drazz,Drazz,,,btd,super rare,danian,Mandiblor Minion,Mandiblor Lacaio,"If Drazz is Infected, it has "":earth:Earth 5.""
Hive: Outperform :courage:Courage 5.","Se Drazz estiver infectado, ele terá "":earth:Terra 5.""
Multidão: Exceder  :courage:Coragem 5.",,,:water:Water  5.,:water:Água 5.,true,false,false,false,,"Tim Kane, David Curiel",30/222,false,90,70,45,30,65,0,0,0,1,1,https://i.imgur.com/6xqso5u.png
BTD-31/222,Hermatred,Hermatred,Hermatred,Hermatred,,,btd,common,danian,Mandiblor Minion,Mandiblor Lacaio,"Outperform :courage:Courage 5.
Hive: Hermatred has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.","Exceder  :courage:Coragem 5.
Multidão: Hermatred tem 5 de Energia adicional para cada Mandiblor que você controla e para cada Criatura Infectada em jogo.",,,":water:Water  5.
If engaged with an Infected Creature, Hermatred has an additional 15 Energy.",":water:Água 5.
Se estiver em combate com uma Criatura Infectada, Hermatred possui 15 de Energia adicional.",true,false,false,false,,"Ryan Benjamin, John Rauch",31/222,false,95,60,55,40,55,0,0,0,0,1,https://i.imgur.com/Nnn9J5r.png
BTD-32/222,Irrabeq,Irrabeq,Irrabeq,Irrabeq,,,btd,uncommon,danian,Mandiblor Minion,Mandiblor Lacaio,":water:Water 5.
Hive: Irrabeq has an additional 10 Energy.",":water:Água 5.
Multidão: Irrabeq tem 10 de Energia adicional.",,,"If engaged with an Infected Creature, Irrabeq has ""Outperform :courage:Courage  5.""","Se estiver em combate com uma Criatura Infectada, Irrabeq tem ""Exceder  :courage:Coragem 5"".",true,false,false,false,,"Khary Randolph, Anthony Washington",32/222,false,85,45,60,70,60,1,0,0,1,1,https://i.imgur.com/6BiwD37.png
BTD-33/222,Kalanju,Kalanju,Kalanju,Kalanju,,,btd,rare,danian,Squadleader Minion,Líder de Esquadrão Lacaio,":danianmugic:: Infect target Uninfected Creature.
Hive: If Kalanju is Infected, it has an additional 30 Energy.",":danianmugic:: Infecte a criatura alvo não infectada.
Multidão: Se Kalanju estiver infectado, ele terá 30 de Energia adicional.",,,":danianmugic:: Infect target Uninfected Creature. 
:danianmugic:: Uninfect target Infected Creature.",":danianmugic:: Infecte a Criatura Alvo não infectada.
:danianmugic:: Desinfecte a Criatura Alvo infectada.",true,false,false,false,,"Keron Grant, Anthony Washington",33/222,false,60,45,65,50,45,1,0,0,1,0,https://i.imgur.com/GxdP7z0.png
BTD-34/222,Katharaz,Katharaz,Katharaz,Katharaz,,,btd,ultra rare,danian,Elementalist,Elementalista,"Hive: Katharaz has ""Elementproof all Elemental Types 15.""","Multidão: Katharaz possui ""A Prova de Todos os Elementos 15"".","""Unite and fight! If we lose the Reservoir, the rest of Mount Pillar will fall!"" — Katharaz","""Lutem juntos! Se perdermos o Reservatório, o resto da Colina de Pilares cairá!"" — Katharaz",,,false,false,false,false,,"Khary Randolph, Anthony Washington",34/222,false,60,40,55,45,50,2,0,1,1,1,https://i.imgur.com/Q1NMJ6d.png
BTD-35/222,Lendai,Lendai,Lendai,Lendai,,,btd,rare,danian,Squadleader,Líder de Esquadrão,"If Lendai is Uninfected, it has "":water:Water 5.""
If Lendai is Infected, it has ""Untargetable.""","Se Lendai não estiver infectado, terá "":water:Água 5.""
Se Lendai estiver infectado, terá ""Inalvejável.""",,,,,false,false,false,false,,"Tim Kane, Reggie Bulter",35/222,false,90,50,70,50,60,0,0,0,1,1,https://i.imgur.com/xIQDCaH.png
BTD-36/222,Mivindal,Mivindal,Mivindal,Mivindal,,,btd,super rare,danian,Battlemaster Minion,Mestre de Batalha Lacaio,Sacrifice Mivindal: Return target Mandiblor Creature Card in your general discard pile to play to any unoccupied space on your side of the Battleboard.,Sacrifique Mivindal: Devolva o Mandiblor alvo do Descarte para o jogo em qualquer espaço desocupado do seu lado do Tabuleiro.,,,"Sacrifice Mivindal: When target Chieftain Creature is destroyed this turn, return it to play in an unoccupied space.","Sacrifique Mivindal: Quando a criatura Chefe alvo for destruída neste turno, retorne-a ao jogo em um espaço desocupado.",true,false,false,false,,"Tim Kane, Anthony Washington",36/222,false,75,40,55,50,45,1,0,0,0,1,https://i.imgur.com/B8pT1Af.png
BTD-37/222,Necrabe,Necrabe,Necrabe,Necrabe,,,btd,ultra rare,danian,Noble,Nobre,":danianmugic:: Infect target Uninfected Creature.
If a Creature Card would be returned to play from a general discard pile, remove it from the game and put 2 Mugic counters on Necrabe instead.",":danianmugic:: Infecte a Criatura Alvo não infectada.
Se uma Criatura fosse retornar do Descarte para o Tabuleiro, em vez disso remova-a do jogo e  coloque :danianmugic::danianmugic: em Necrabe.",,,,,false,true,false,true,,"Khary Randolph, Anthony Washington",37/222,false,110,35,80,45,40,2,0,1,0,0,https://i.imgur.com/2pX9EXr.png
BTD-38/222,Nimmei,Nimmei,Nimmei,Nimmei,,,btd,rare,danian,Noble,Nobre,Hive: Nimmei has an additional 5 Energy and 5 in all Disciplines for each Mandiblor you control and each Infected Creature in play.,Multidão: Nimmei recebe 5 de Energia adicional e 5 em todas as Disciplinas para cada Mandiblor que você controla e para cada Criatura Infectada em jogo.,"Though young and untested, Nimmei's heart more than makes up for years of experience.","Apesar de jovem e inexperiente, o coração de Nimmei compensa de sobra os anos de experiência.",,,false,false,false,true,,"Gustavo, John Rauch",38/222,false,85,55,45,60,55,1,0,1,1,1,https://i.imgur.com/aiM1jkd.png
